ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
NWSA,,,,,,,,,,-300.39,0.008,1.9,0.26899999999999996,1.8,0.248,11.87,0.301,1.66,0.061,17.7,26.61,15088952583.0,108.0,26.96,89789.0
O,,,,,,,,,,,,,,,,,,,,,68.12,26387852516.0,42.0,,
ODFL,,,,,,,,,,,,,,,,,,,,,268.43,30537729693.0,10.0,,
OKE,0.9671,0.8733,0.5572,0.9604,0.1311,0.7703,0.061,0.8317,85.89,,,,,,,,,,,,57.27,25795206626.0,50.0,58.29,1387.0
OMC,,,,,,,,,,,,,,,,,,,,,82.96,17546935324.0,34.0,,
ORCL,,,,,,,,,,,,,,,,,,,,,82.04,231251045338.0,35.0,,
ORLY,,,,,,,,,,,,,,,,,,,,,582.0,40351799826.0,4.0,,
OTIS,,,,,,,,,,,,,,,,,,,,,82.85,36306124917.0,34.0,,
OXY,0.9275,0.8554,0.91,0.9921,0.2026,0.9228000000000001,0.159,0.9743,93.61,,,,,,,,,,,,34.0,30437631858.0,84.0,32.72,2472.0
PAYC,,,,,,,,,,,,,,,,,,,,,394.87,22902178156.0,7.0,,
PAYX,,,,,,,,,,,,,,,,,,,,,112.22,40534487069.0,25.0,,
PBCT,,,,,,,,,,,,,,,,,,,,,17.39,7432073294.0,165.0,,
PCAR,,,,,,,,,,,,,,,,,,,,,90.22,32235834286.0,31.0,,
PEAK,,,,,,,,,,,,,,,,,,,,,34.43,18207527333.0,83.0,,
PEG,,,,,,,,,,,,,,,,,,,,,62.92,31136600908.0,45.0,,
PEP,,,,,,,,,,,,,,,,,,,,,154.0,214496002176.0,18.0,,
PFE,,,,,,,,,,,,,,,,,,,,,39.74,222990863342.0,72.0,,
PFG,,,,,,,,,,11.1,0.17800000000000002,1.13,0.115,1.28,0.14300000000000002,7.86,0.111,1.25,0.04,11.7,65.2,17663930636.0,44.0,63.87,37900.0
PG,,,,,,,,,,,,,,,,,,,,,137.12,342235301559.0,21.0,,
PGR,,,,,,,,,,9.0,0.14300000000000002,3.42,0.47200000000000003,1.35,0.161,6.67,0.071,1.3,0.042,17.8,99.03,59590304445.0,29.0,99.93,24224.0
PH,,,,,,,,,,,,,,,,,,,,,323.09,40776686755.0,8.0,,
PHM,,,,,,,,,,10.38,0.162,2.22,0.32299999999999995,1.3,0.146,7.49,0.08900000000000001,5.04,0.261,19.6,56.7,15013490408.0,50.0,55.52,43600.0
PKG,,,,,,,,,,,,,,,,,,,,,136.22,13149986505.0,21.0,,
PKI,,,,,,,,,,,,,,,,,,,,,157.51,17336825573.0,18.0,,
PLD,,,,,,,,,,,,,,,,,,,,,126.32,93532261212.0,22.0,,
PM,,,,,,,,,,,,,,,,,,,,,104.03,160259279564.0,27.0,,
PNC,,,,,,,,,,,,,,,,,,,,,199.58,81860720768.0,14.0,,
PNR,,,,,,,,,,,,,,,,,,,,,67.96,11492844012.0,42.0,,
PNW,,,,,,,,,,,,,,,,,,,,,85.77,9646898451.0,33.0,,
PPG,,,,,,,,,,,,,,,,,,,,,173.7,40762255318.0,16.0,,
PPL,,,,,,,,,,,,,,,,,,,,,28.81,22136033626.0,100.0,,
PRGO,,,,,,,,,,-28.54,0.051,1.14,0.11699999999999999,1.32,0.152,12.55,0.337,5.57,0.301,19.2,48.1,6390405946.0,59.0,48.27,50149.0
PRU,,,,,,,,,,15.43,0.259,0.72,0.09300000000000001,0.68,0.05,10.57,0.23,0.65,0.013999999999999999,12.9,107.26,40561794559.0,26.0,107.42,22535.0
PSA,0.5841,0.6158,0.3245,0.7979999999999999,0.20379999999999998,0.9248000000000001,0.0592,0.8256999999999999,79.11,,,,,,,,,,,,307.9,55246246243.0,9.0,304.53,265.0
PSX,,,,,,,,,,,,,,,,,,,,,89.91,38336902388.0,32.0,,
PVH,,,,,,,,,,,,,,,,,,,,,110.34,8069425841.0,26.0,,
PWR,,,,,,,,,,,,,,,,,,,,,92.96,13068177674.0,31.0,,
PXD,,,,,,,,,,,,,,,,,,,,,172.73,41492262599.0,16.0,,
PYPL,0.6448999999999999,0.6831999999999999,0.2422,0.6376,0.16899999999999998,0.8693000000000001,0.1201,0.9465,78.42,,,,,,,,,,,,299.81,341802483128.0,9.0,294.51,274.0
QCOM,,,,,,,,,,,,,,,,,,,,,145.39,162405023179.0,19.0,,
QRVO,,,,,,,,,,,,,,,,,,,,,204.84,22025611958.0,14.0,,
RCL,,,,,,,,,,,,,,,,,,,,,88.66,21767886615.0,32.0,,
